LIF(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),CH(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),PD(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Stat3-(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Tcf3(16 17), MEKERK(16 17),Klf4(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Gbx2(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Tfcp2l1+(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Esrrb-+(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Nanog-(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Klf2(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Tbx3(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Sox2-(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Sall4(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15),Oct4-(0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15)
LIF		LIF		positive
CH		CH		positive
PD		PD		positive
LIF		Stat3		positive
Stat3	Klf4 positive 
Stat3	Gbx2	positive 
Stat3 Tfcp2l1 positive 
CH		Tcf3	negative
Tcf3 	Tfcp2l1 negative 
Tcf3 	Esrrb	negative 
PD		MEKERK  negative
MEKERK	Nanog	negative	
MEKERK	Tcf3 	negative
Esrrb Klf2 negative optional
Klf2 Esrrb negative optional
Esrrb Klf4 positive optional
Klf4 Esrrb positive optional
Esrrb Nanog positive optional
Nanog Esrrb positive optional
Esrrb Oct4 negative optional
Oct4 Esrrb negative optional
Esrrb Tbx3 positive optional
Tbx3 Esrrb positive optional
Esrrb Tfcp2l1 positive optional
Tfcp2l1 Esrrb positive optional
Esrrb Stat3 positive optional
Stat3 Esrrb positive optional
Esrrb Gbx2 positive optional
Gbx2 Esrrb positive optional
Klf2 Klf4 positive optional
Klf4 Klf2 positive optional
Klf2 Nanog positive optional
Nanog Klf2 positive optional
Klf2 Oct4 positive optional
Oct4 Klf2 positive optional
Klf2 Tbx3 negative optional
Tbx3 Klf2 negative optional
Klf2 Tfcp2l1 negative optional
Tfcp2l1 Klf2 negative optional
Klf2 Gbx2 negative optional
Gbx2 Klf2 negative optional
Klf2 Sall4 positive optional
Sall4 Klf2 positive optional
Klf2 Tcf3 positive optional
Tcf3 Klf2 positive optional
Klf4 Tbx3 positive optional
Tbx3 Klf4 positive optional
Klf4 Tfcp2l1 positive optional
Tfcp2l1 Klf4 positive optional
Klf4 Gbx2 positive optional
Gbx2 Klf4 positive optional
Nanog Oct4 positive optional
Oct4 Nanog positive optional
Nanog Tfcp2l1 positive optional
Tfcp2l1 Nanog positive optional
Nanog Sox2 positive optional
Sox2 Nanog positive optional
Oct4 Tfcp2l1 negative optional
Tfcp2l1 Oct4 negative optional
Oct4 Gbx2 negative optional
Gbx2 Oct4 negative optional
Oct4 Tcf3 positive optional
Tcf3 Oct4 positive optional
Tbx3 Tfcp2l1 positive optional
Tfcp2l1 Tbx3 positive optional
Tbx3 Gbx2 positive optional
Gbx2 Tbx3 positive optional
Tbx3 Sall4 positive optional
Sall4 Tbx3 positive optional
Tbx3 Tcf3 negative optional
Tcf3 Tbx3 negative optional
Tbx3 Sox2 positive optional
Sox2 Tbx3 positive optional
Tfcp2l1 Sall4 positive optional
Sall4 Tfcp2l1 positive optional
Stat3 Tcf3 negative optional
Tcf3 Stat3 negative optional
Stat3 Sox2 negative optional
Sox2 Stat3 negative optional
Sall4 Sox2 positive optional
Sox2 Sall4 positive optional
Tcf3 Nanog positive optional
Nanog Tcf3 positive optional


















